Time,I
2.3040000000000003,14.592489013184178
2.305,14.594486616060726
2.306,14.596484218937274
2.307,14.598481821813822
2.308,14.60047942469037
2.309,14.602477027566918
2.31,14.604474630443466
2.311,14.606472233320014
2.312,14.608469836196562
2.313,14.61046743907311
2.314,14.612465041949658
2.315,14.614462644826206
2.316,14.616460247702756
2.317,14.618457850579304
2.318,14.620455453455852
2.319,14.6224530563324
2.32,14.624450659208948
2.321,14.626448262085496
2.322,14.628445864962044
2.323,14.630443467838592
2.324,14.63244107071514
2.325,14.634438673591688
2.326,14.636436276468237
2.327,14.638433879344785
2.328,14.640431482221333
2.329,14.64242908509788
2.33,14.644426687974429
2.331,14.646424290850977
2.332,14.648421893727525
2.333,14.650419496604073
2.334,14.652417099480624
2.335,14.65441470235717
2.336,14.65641230523372
2.337,14.658409908110269
2.338,14.660407510986817
2.339,14.662405113863365
2.34,14.664402716739913
2.341,14.66640031961646
2.342,14.668397922493009
2.343,14.670395525369557
2.344,14.672393128246105
2.345,14.674390731122651
2.346,14.6763883339992
2.347,14.678385936875747
2.348,14.680383539752295
2.349,14.682381142628843
2.35,14.684378745505391
2.351,14.68637634838194
2.352,14.68837395125849
2.353,14.690371554135035
2.354,14.692369157011584
2.355,14.694366759888132
2.356,14.69636436276468
2.357,14.69836196564123
2.358,14.700359568517776
2.359,14.702357171394326
2.36,14.704354774270874
2.361,14.706352377147422
2.362,14.70834998002397
2.363,14.710347582900518
2.364,14.712345185777066
2.365,14.714342788653614
2.366,14.716340391530162
2.367,14.71833799440671
2.368,14.720335597283258
2.369,14.722333200159806
2.37,14.724330803036356
2.371,14.726328405912904
2.372,14.728326008789452
2.373,14.730323611666
2.374,14.732321214542548
2.375,14.734318817419096
2.376,14.736316420295644
2.3770000000000002,14.738314023172192
2.378,14.74031162604874
2.379,14.742309228925288
2.38,14.744306831801836
2.3810000000000002,14.746304434678384
2.382,14.748302037554932
2.383,14.75029964043148
2.384,14.752297243308028
2.3850000000000002,14.754294846184576
2.386,14.756292449061124
2.387,14.758290051937673
2.388,14.76028765481422
2.3890000000000002,14.76228525769077
2.39,14.764282860567318
2.391,14.766280463443866
2.392,14.768278066320416
2.3930000000000002,14.770275669196964
2.394,14.77227327207351
2.395,14.77427087495006
2.396,14.776268477826608
2.3970000000000002,14.778266080703157
2.398,14.780263683579705
2.399,14.78226128645625
2.4,14.7842588893328
2.4010000000000002,14.786256492209349
2.402,14.788254095085897
2.403,14.790251697962445
2.404,14.792249300838993
2.4050000000000002,14.79424690371554
2.406,14.796244506592087
2.407,14.798242109468635
2.408,14.800239712345183
2.4090000000000003,14.802237315221731
2.41,14.80423491809828
2.411,14.80623252097483
2.412,14.808230123851375
2.4130000000000003,14.810227726727923
2.414,14.812225329604471
2.415,14.81422293248102
2.416,14.81622053535757
2.4170000000000003,14.818218138234116
2.418,14.820215741110664
2.419,14.822213343987212
2.42,14.824210946863762
2.4210000000000003,14.82620854974031
2.422,14.828206152616858
2.423,14.830203755493406
2.424,14.832201358369954
2.4250000000000003,14.834198961246504
2.426,14.836196564123052
2.427,14.8381941669996
2.428,14.840191769876148
2.4290000000000003,14.842189372752696
2.43,14.844186975629244
2.431,14.846184578505792
2.432,14.84818218138234
2.433,14.850179784258888
2.434,14.852177387135436
2.435,14.854174990011984
2.436,14.856172592888532
2.437,14.85817019576508
